beach_name,collection_date,site_name,e_coli,Date,is_outlier
Marie Curtis Park East Beach,2024-08-29,30,100,2024-08-29,Normal
Sunnyside Beach,2024-08-29,18,120,2024-08-29,Normal
Sunnyside Beach,2024-08-29,17,60,2024-08-29,Normal
Sunnyside Beach,2024-08-29,20,90,2024-08-29,Normal
Sunnyside Beach,2024-08-29,21,290,2024-08-29,Normal
Sunnyside Beach,2024-08-29,19,40,2024-08-29,Normal
Sunnyside Beach,2024-08-29,22,40,2024-08-29,Normal
Marie Curtis Park East Beach,2024-08-28,29,10,2024-08-28,Normal
Marie Curtis Park East Beach,2024-08-28,33,40,2024-08-28,Normal
Marie Curtis Park East Beach,2024-08-28,32,50,2024-08-28,Normal
Marie Curtis Park East Beach,2024-08-28,31,50,2024-08-28,Normal
Marie Curtis Park East Beach,2024-08-28,30,10,2024-08-28,Normal
Sunnyside Beach,2024-08-28,18,490,2024-08-28,Normal
Sunnyside Beach,2024-08-28,17,600,2024-08-28,Normal
Sunnyside Beach,2024-08-28,20,260,2024-08-28,Normal
Sunnyside Beach,2024-08-28,21,320,2024-08-28,Normal
Sunnyside Beach,2024-08-28,19,320,2024-08-28,Normal
Sunnyside Beach,2024-08-28,22,280,2024-08-28,Normal
Marie Curtis Park East Beach,2024-08-27,29,200,2024-08-27,Normal
Marie Curtis Park East Beach,2024-08-27,33,100,2024-08-27,Normal
Marie Curtis Park East Beach,2024-08-27,32,110,2024-08-27,Normal
Marie Curtis Park East Beach,2024-08-27,31,200,2024-08-27,Normal
Marie Curtis Park East Beach,2024-08-27,30,230,2024-08-27,Normal
Sunnyside Beach,2024-08-27,18,870,2024-08-27,Normal
Sunnyside Beach,2024-08-27,17,80,2024-08-27,Normal
Sunnyside Beach,2024-08-27,20,10,2024-08-27,Normal
Sunnyside Beach,2024-08-27,21,150,2024-08-27,Normal
Sunnyside Beach,2024-08-27,19,150,2024-08-27,Normal
Sunnyside Beach,2024-08-27,22,440,2024-08-27,Normal
Marie Curtis Park East Beach,2024-08-26,29,40,2024-08-26,Normal
Marie Curtis Park East Beach,2024-08-26,33,30,2024-08-26,Normal
Marie Curtis Park East Beach,2024-08-26,32,50,2024-08-26,Normal
Marie Curtis Park East Beach,2024-08-26,31,20,2024-08-26,Normal
Marie Curtis Park East Beach,2024-08-26,30,30,2024-08-26,Normal
Sunnyside Beach,2024-08-26,18,40,2024-08-26,Normal
Sunnyside Beach,2024-08-26,17,30,2024-08-26,Normal
Sunnyside Beach,2024-08-26,20,20,2024-08-26,Normal
Sunnyside Beach,2024-08-26,21,30,2024-08-26,Normal
Sunnyside Beach,2024-08-26,19,10,2024-08-26,Normal
Sunnyside Beach,2024-08-26,22,10,2024-08-26,Normal
Marie Curtis Park East Beach,2024-08-25,29,50,2024-08-25,Normal
Marie Curtis Park East Beach,2024-08-25,33,30,2024-08-25,Normal
Marie Curtis Park East Beach,2024-08-25,32,60,2024-08-25,Normal
Marie Curtis Park East Beach,2024-08-25,31,40,2024-08-25,Normal
Marie Curtis Park East Beach,2024-08-25,30,20,2024-08-25,Normal
Sunnyside Beach,2024-08-25,18,10,2024-08-25,Normal
Sunnyside Beach,2024-08-25,17,40,2024-08-25,Normal
Sunnyside Beach,2024-08-25,20,40,2024-08-25,Normal
Sunnyside Beach,2024-08-25,21,20,2024-08-25,Normal
Sunnyside Beach,2024-08-25,19,50,2024-08-25,Normal
Sunnyside Beach,2024-08-25,22,80,2024-08-25,Normal
Marie Curtis Park East Beach,2024-08-24,29,200,2024-08-24,Normal
Marie Curtis Park East Beach,2024-08-24,33,130,2024-08-24,Normal
Marie Curtis Park East Beach,2024-08-24,32,100,2024-08-24,Normal
Marie Curtis Park East Beach,2024-08-24,31,140,2024-08-24,Normal
Marie Curtis Park East Beach,2024-08-24,30,140,2024-08-24,Normal
Sunnyside Beach,2024-08-24,18,80,2024-08-24,Normal
Sunnyside Beach,2024-08-24,17,60,2024-08-24,Normal
Sunnyside Beach,2024-08-24,20,400,2024-08-24,Normal
Sunnyside Beach,2024-08-24,21,210,2024-08-24,Normal
Sunnyside Beach,2024-08-24,19,280,2024-08-24,Normal
Sunnyside Beach,2024-08-24,22,180,2024-08-24,Normal
Marie Curtis Park East Beach,2024-08-23,29,40,2024-08-23,Normal
Marie Curtis Park East Beach,2024-08-23,33,50,2024-08-23,Normal
Marie Curtis Park East Beach,2024-08-23,32,20,2024-08-23,Normal
Marie Curtis Park East Beach,2024-08-23,31,110,2024-08-23,Normal
Marie Curtis Park East Beach,2024-08-23,30,40,2024-08-23,Normal
Sunnyside Beach,2024-08-23,18,300,2024-08-23,Normal
Sunnyside Beach,2024-08-23,17,490,2024-08-23,Normal
Sunnyside Beach,2024-08-23,20,140,2024-08-23,Normal
Sunnyside Beach,2024-08-23,21,50,2024-08-23,Normal
Sunnyside Beach,2024-08-23,19,190,2024-08-23,Normal
Sunnyside Beach,2024-08-23,22,70,2024-08-23,Normal
Marie Curtis Park East Beach,2024-08-22,29,50,2024-08-22,Normal
Marie Curtis Park East Beach,2024-08-22,33,40,2024-08-22,Normal
Marie Curtis Park East Beach,2024-08-22,32,40,2024-08-22,Normal
Marie Curtis Park East Beach,2024-08-22,31,80,2024-08-22,Normal
Marie Curtis Park East Beach,2024-08-22,30,20,2024-08-22,Normal
Sunnyside Beach,2024-08-22,18,130,2024-08-22,Normal
Sunnyside Beach,2024-08-22,17,140,2024-08-22,Normal
Sunnyside Beach,2024-08-22,20,70,2024-08-22,Normal
Sunnyside Beach,2024-08-22,21,110,2024-08-22,Normal
Sunnyside Beach,2024-08-22,19,160,2024-08-22,Normal
Sunnyside Beach,2024-08-22,22,60,2024-08-22,Normal
Marie Curtis Park East Beach,2024-08-21,29,10,2024-08-21,Normal
Marie Curtis Park East Beach,2024-08-21,33,20,2024-08-21,Normal
Marie Curtis Park East Beach,2024-08-21,32,10,2024-08-21,Normal
Marie Curtis Park East Beach,2024-08-21,31,10,2024-08-21,Normal
Marie Curtis Park East Beach,2024-08-21,30,20,2024-08-21,Normal
Sunnyside Beach,2024-08-21,18,190,2024-08-21,Normal
Sunnyside Beach,2024-08-21,17,200,2024-08-21,Normal
Sunnyside Beach,2024-08-21,20,40,2024-08-21,Normal
Sunnyside Beach,2024-08-21,21,60,2024-08-21,Normal
Sunnyside Beach,2024-08-21,19,90,2024-08-21,Normal
Sunnyside Beach,2024-08-21,22,50,2024-08-21,Normal
Marie Curtis Park East Beach,2024-08-20,29,300,2024-08-20,Normal
Marie Curtis Park East Beach,2024-08-20,33,180,2024-08-20,Normal
Marie Curtis Park East Beach,2024-08-20,32,350,2024-08-20,Normal
Marie Curtis Park East Beach,2024-08-20,31,270,2024-08-20,Normal
Marie Curtis Park East Beach,2024-08-20,30,330,2024-08-20,Normal
Sunnyside Beach,2024-08-20,18,350,2024-08-20,Normal
Sunnyside Beach,2024-08-20,17,30,2024-08-20,Normal
Sunnyside Beach,2024-08-20,20,150,2024-08-20,Normal
Sunnyside Beach,2024-08-20,21,70,2024-08-20,Normal
Sunnyside Beach,2024-08-20,19,380,2024-08-20,Normal
Sunnyside Beach,2024-08-20,22,50,2024-08-20,Normal
Marie Curtis Park East Beach,2024-08-19,29,370,2024-08-19,Normal
Marie Curtis Park East Beach,2024-08-19,33,250,2024-08-19,Normal
Marie Curtis Park East Beach,2024-08-19,32,370,2024-08-19,Normal
Marie Curtis Park East Beach,2024-08-19,31,360,2024-08-19,Normal
Marie Curtis Park East Beach,2024-08-19,30,350,2024-08-19,Normal
Sunnyside Beach,2024-08-19,18,80,2024-08-19,Normal
Sunnyside Beach,2024-08-19,17,80,2024-08-19,Normal
Sunnyside Beach,2024-08-19,20,70,2024-08-19,Normal
Sunnyside Beach,2024-08-19,21,180,2024-08-19,Normal
Sunnyside Beach,2024-08-19,19,90,2024-08-19,Normal
Sunnyside Beach,2024-08-19,22,110,2024-08-19,Normal
Marie Curtis Park East Beach,2024-08-18,29,300,2024-08-18,Normal
Marie Curtis Park East Beach,2024-08-18,33,10,2024-08-18,Normal
Marie Curtis Park East Beach,2024-08-18,32,20,2024-08-18,Normal
Marie Curtis Park East Beach,2024-08-18,31,210,2024-08-18,Normal
Marie Curtis Park East Beach,2024-08-18,30,340,2024-08-18,Normal
Sunnyside Beach,2024-08-18,18,600,2024-08-18,Normal
Sunnyside Beach,2024-08-18,17,320,2024-08-18,Normal
Sunnyside Beach,2024-08-18,20,240,2024-08-18,Normal
Sunnyside Beach,2024-08-18,21,190,2024-08-18,Normal
Sunnyside Beach,2024-08-18,19,350,2024-08-18,Normal
Sunnyside Beach,2024-08-18,22,280,2024-08-18,Normal
Marie Curtis Park East Beach,2024-08-17,29,40,2024-08-17,Normal
Marie Curtis Park East Beach,2024-08-17,33,10,2024-08-17,Normal
Marie Curtis Park East Beach,2024-08-17,32,20,2024-08-17,Normal
Marie Curtis Park East Beach,2024-08-17,31,10,2024-08-17,Normal
Marie Curtis Park East Beach,2024-08-17,30,40,2024-08-17,Normal
Sunnyside Beach,2024-08-17,18,90,2024-08-17,Normal
Sunnyside Beach,2024-08-17,17,100,2024-08-17,Normal
Sunnyside Beach,2024-08-17,20,60,2024-08-17,Normal
Sunnyside Beach,2024-08-17,21,20,2024-08-17,Normal
Sunnyside Beach,2024-08-17,19,140,2024-08-17,Normal
Sunnyside Beach,2024-08-17,22,20,2024-08-17,Normal
Marie Curtis Park East Beach,2024-08-16,29,10,2024-08-16,Normal
Marie Curtis Park East Beach,2024-08-16,33,10,2024-08-16,Normal
Marie Curtis Park East Beach,2024-08-16,32,10,2024-08-16,Normal
Marie Curtis Park East Beach,2024-08-16,31,10,2024-08-16,Normal
Marie Curtis Park East Beach,2024-08-16,30,10,2024-08-16,Normal
Sunnyside Beach,2024-08-16,18,90,2024-08-16,Normal
Sunnyside Beach,2024-08-16,17,160,2024-08-16,Normal
Sunnyside Beach,2024-08-16,20,40,2024-08-16,Normal
Sunnyside Beach,2024-08-16,21,30,2024-08-16,Normal
Sunnyside Beach,2024-08-16,19,50,2024-08-16,Normal
Sunnyside Beach,2024-08-16,22,20,2024-08-16,Normal
Marie Curtis Park East Beach,2024-08-15,29,30,2024-08-15,Normal
Marie Curtis Park East Beach,2024-08-15,33,10,2024-08-15,Normal
Marie Curtis Park East Beach,2024-08-15,32,20,2024-08-15,Normal
Marie Curtis Park East Beach,2024-08-15,31,10,2024-08-15,Normal
Marie Curtis Park East Beach,2024-08-15,30,10,2024-08-15,Normal
Sunnyside Beach,2024-08-15,18,220,2024-08-15,Normal
Sunnyside Beach,2024-08-15,17,130,2024-08-15,Normal
Sunnyside Beach,2024-08-15,20,10,2024-08-15,Normal
Sunnyside Beach,2024-08-15,21,10,2024-08-15,Normal
Sunnyside Beach,2024-08-15,19,60,2024-08-15,Normal
Sunnyside Beach,2024-08-15,22,20,2024-08-15,Normal
Marie Curtis Park East Beach,2024-08-14,29,10,2024-08-14,Normal
Marie Curtis Park East Beach,2024-08-14,33,10,2024-08-14,Normal
Marie Curtis Park East Beach,2024-08-14,32,20,2024-08-14,Normal
Marie Curtis Park East Beach,2024-08-14,31,30,2024-08-14,Normal
Marie Curtis Park East Beach,2024-08-14,30,10,2024-08-14,Normal
Sunnyside Beach,2024-08-14,18,220,2024-08-14,Normal
Sunnyside Beach,2024-08-14,17,160,2024-08-14,Normal
Sunnyside Beach,2024-08-14,20,30,2024-08-14,Normal
Sunnyside Beach,2024-08-14,21,30,2024-08-14,Normal
Sunnyside Beach,2024-08-14,19,170,2024-08-14,Normal
Sunnyside Beach,2024-08-14,22,20,2024-08-14,Normal
Marie Curtis Park East Beach,2024-08-13,29,10,2024-08-13,Normal
Marie Curtis Park East Beach,2024-08-13,33,30,2024-08-13,Normal
Marie Curtis Park East Beach,2024-08-13,32,20,2024-08-13,Normal
Marie Curtis Park East Beach,2024-08-13,31,10,2024-08-13,Normal
Marie Curtis Park East Beach,2024-08-13,30,10,2024-08-13,Normal
Sunnyside Beach,2024-08-13,18,800,2024-08-13,Normal
Sunnyside Beach,2024-08-13,17,160,2024-08-13,Normal
Sunnyside Beach,2024-08-13,20,90,2024-08-13,Normal
Sunnyside Beach,2024-08-13,21,50,2024-08-13,Normal
Sunnyside Beach,2024-08-13,19,200,2024-08-13,Normal
Sunnyside Beach,2024-08-13,22,20,2024-08-13,Normal
Marie Curtis Park East Beach,2024-08-12,29,20,2024-08-12,Normal
Marie Curtis Park East Beach,2024-08-12,33,10,2024-08-12,Normal
Marie Curtis Park East Beach,2024-08-12,32,10,2024-08-12,Normal
Marie Curtis Park East Beach,2024-08-12,31,20,2024-08-12,Normal
Marie Curtis Park East Beach,2024-08-12,30,10,2024-08-12,Normal
Sunnyside Beach,2024-08-12,18,90,2024-08-12,Normal
Sunnyside Beach,2024-08-12,17,390,2024-08-12,Normal
